ID	Seed	wetIndicatorThreshold	wetConfidenceThreshold	C1	addC1	P1	C2	P2	dryLevelThreshold	dryFlowAdjustment	Coastal Impacts: Upstream Buildings Impacted (#)	Coastal Impacts: Downstream Buildings Impacted (#)	Commercial Navigation: Ontario + Seaway + Montreal Transportation Costs ($)	Hydropower: Moses-Saunders + Niagara Energy Value ($)	Meadow Marsh: Area (ha)	Muskrat Lodge Viability (%)	Recreational Boating: Impact Costs ($)
0	1	8056.245104059892	168.15706924301665	195.30692148360316	218.0617513293544	1.4919934493997222	240.36194580875585	1.9869024904405608	76.1068865302269	30.01817794069456	62646.46484745762	3890.593220338983	192997442.8644068	-2354175697.108007	-12528.0629	-0.4938711864406779	16905562.903728813
1	1	7573.324062752612	81.89962632659142	132.41850944353786	247.39662404932452	0.9782573530880296	224.1105714396461	1.9960870390830765	76.23838194932662	49.41867612688132	47805.566067796615	3842.542372881356	194906164.7457627	-2349058838.1712565	-13857.260855555556	-0.5073779661016949	20693184.69847458
2	1	7692.708334110282	146.12349267830643	201.16319202840404	200.769005294755	1.1392192100970862	178.93571909187395	1.984562800414374	74.83081106398005	48.76503451318391	54449.88745762712	3861.915254237288	194595577.27118644	-2351038297.112208	-14051.762433333332	-0.499771186440678	19788372.004237287
3	1	6491.006336862272	170.72671167590798	194.5396785101244	120.46658987051362	1.7196135505267924	225.11745326510385	1.9888009795277584	75.07198885022069	27.926758901031008	59366.13103389831	3877.677966101695	194456627.7457627	-2353196344.462585	-12506.752544444444	-0.4814254237288135	16925994.792542372
4	1	9139.930830347905	224.54099725083648	103.9309263902894	94.40112987410232	0.488247419821156	100.00804837428475	1.8887831088025628	75.80810307742234	49.744460404941535	47714.34542372881	3845.254237288136	192863676.0	-2348510129.1791115	-14518.253355555553	-0.5088610169491525	24148718.121186446
5	1	8380.433453943417	162.2375108306736	195.5118045939954	174.0572763410791	1.18390600050513	294.5700139735895	1.9860263127888815	75.93849058844268	10.235266196133702	70397.1767118644	3922.830508474576	192785380.01694915	-2356422791.6791487	-11010.267799999998	-0.5041101694915254	15280732.17322034
6	1	9826.39157972641	67.16114750363192	137.08876925036003	101.36646380977672	0.4788487063941619	190.6983841713319	1.1959820649450037	76.17975750382767	6.797704476012051	65922.9433559322	3900.169491525424	191872069.0338983	-2354832505.2523184	-9212.167488888888	-0.4829440677966102	16190256.99661017
7	1	7769.978522485055	158.56657320600158	134.9075593414648	243.72397520794192	0.3623711773805865	256.389394059751	1.9748088182208428	74.60707496316304	49.35971268518489	55400.860966101696	3864.5254237288136	193768384.7118644	-2351692385.4025235	-13004.039244444442	-0.4415271186440678	17813527.52881356
8	1	7769.978522485055	158.50325198678064	158.69048971738408	247.36640429045107	0.3623711773805865	81.62230360074788	1.9748088182208428	74.61243753048532	49.34583302815047	47803.14028813559	3846.084745762712	193640855.3559322	-2348764421.83394	-14566.767722222225	-0.5025542372881356	22291913.128135584
9	1	7845.156310818985	67.79826870056337	321.9145881143188	201.61474583412277	1.825622348697899	207.51799189750815	1.9923799260074444	76.49887327239844	45.85607810601009	51149.45238983051	3853.847457627119	194208939.8983051	-2350362694.106207	-13538.895688888888	-0.5021474576271187	19456847.70830508
10	1	6187.876215020969	156.99382110467798	222.11481157374203	56.742020451978576	0.8639283067116404	233.43223841058145	1.9959625059838224	76.3403886740937	50.0	41231.48906779661	3818.4406779661017	195988346.8644068	-2345496887.720019	-13579.06182222222	-0.5124016949152542	25152122.109491527
11	1	5796.531704107007	97.782324542441	209.21961412401333	188.9779013439496	1.768798630465099	298.15298856646075	1.4114939262938695	75.71914339107659	30.966557708236245	57740.946033898304	3865.2203389830506	194831742.1355932	-2352437983.619976	-10056.091666666667	-0.4871779661016949	16138248.793220336
12	1	7018.253832128424	163.83431037922443	27.53737648487123	80.84890303560701	0.4444972354774546	180.21490501783495	1.8988659836984372	75.48934940317702	48.529036310592176	47766.83076271187	3836.254237288136	192913517.59322035	-2348667195.2294946	-14025.647777777778	-0.4992338983050847	22564488.660847463
13	1	7169.880780308643	240.4540051918728	618.6999904053629	116.18908573169796	0.0112801554469216	246.06866648725887	1.953264464661424	75.27552227428097	49.99969619132424	49478.58344067797	3880.4406779661017	191993227.93220335	-2347879888.386697	-13702.871533333331	-0.5646322033898304	23382140.249661017
