"ID","Seed","wetIndicatorThreshold","wetConfidenceThreshold","C1","C1+","P1","C2","P2","dryLevelThreshold","dryFlowAdjustment","Coastal Impacts: Upstream Buildings Impacted (#)","Coastal Impacts: Downstream Buildings Impacted (#)","Commercial Navigation: Ontario + Seaway + Montreal Transportation Costs ($)","Hydropower: Moses-Saunders + Niagara Energy Value ($)","Meadow Marsh: Area (ha)","Muskrat Lodge Viability (%)","Recreational Boating: Impact Costs ($)"
0,1,8056.24510405989,168.157069243017,195.306921483603,218.061751329354,1.49199344939972,240.361945808756,1.98690249044056,76.1068865302269,30.0181779406946,62646.4648474576,3890.59322033898,192997442.864407,-2354175697.10801,-12528.0629,-0.493871186440678,16905562.9037288
3,1,6491.00633686227,170.726711675908,194.539678510124,120.466589870514,1.71961355052679,225.117453265104,1.98880097952776,75.0719888502207,27.926758901031,59366.1310338983,3877.67796610169,194456627.745763,-2353196344.46258,-12506.7525444444,-0.481425423728813,16925994.7925424
7,1,7769.97852248505,158.566573206002,134.907559341465,243.723975207942,0.362371177380586,256.389394059751,1.97480881822084,74.607074963163,49.3597126851849,55400.8609661017,3864.52542372881,193768384.711864,-2351692385.40252,-13004.0392444444,-0.441527118644068,17813527.5288136
14,1,7690.24827607129,86.3473490022474,119.470256806843,249.174699051368,0.784015311641297,262.806063087069,1.97204480256891,76.3019033522102,9.37934991616091,65472.2217627119,3898.77966101695,194620770.355932,-2354743605.48488,-11043.9726,-0.487952542372881,15249902.39
27,1,8905.64237059304,168.098172744845,226.621774142665,100.084776897003,1.39749960938609,255.661697259192,1.25296706432779,75.0510597149765,33.9573342678513,62576.5136440678,3887.86440677966,192499532.813559,-2354200960.54164,-10492.2183111111,-0.491062711864407,16176568.0435593
34,1,7645.33754575324,212.441054513315,469.28762771731,241.155484339957,1.82966652757308,281.567713334262,1.78711693657948,76.1930994571721,13.7028945746098,63778.9916949152,3897.40677966102,193980287.576271,-2354246423.8821,-10581.7480777778,-0.508084745762712,15257902.7505085
43,1,7649.46446992078,131.46143468997,125.19399347483,244.023110921239,0.310063323077463,299.371100481713,1.97836140908707,74.6716728870719,41.6145535512645,52743.8199322034,3857.64406779661,194199291.627119,-2350864070.46803,-12501.7548111111,-0.472966101694915,17851210.0815254
51,1,8056.24510405989,120.260869471883,195.306921483603,212.852832731396,1.49199344939972,237.977075608326,1.49608792725394,76.1216007575304,30.0181779406946,64060.9042033898,3893.28813559322,192854351.61017,-2354617056.92283,-11585.0663111111,-0.486303389830508,16126870.480339
52,1,7748.04717948382,168.118954294894,210.128259542391,243.72022165054,0.879959780210379,242.525953491338,1.98995852654401,74.6363735776521,30.0181779406946,62290.8064576271,3886.20338983051,193855644.135593,-2353887835.48824,-12044.9247555556,-0.488428813559322,15959852.2274576
70,1,5796.53170410701,203.503412635089,207.635966978923,196.439983475077,1.77148814550321,295.122038547126,1.40688650878307,75.0244562991745,38.008339003869,54406.5310847458,3855.79661016949,194545868.762712,-2351463043.72147,-10774.2141333333,-0.477154237288136,17009820.1445763
73,1,7698.72131725658,85.893083209147,96.0092480027986,74.5717580603835,0.362232835129899,183.126910154518,1.99262899200416,74.6274083534509,48.5493734859346,62348.2280847458,3899.50847457627,193787239.762712,-2353864444.67352,-13598.0334333333,-0.4834,17878799.879661
74,1,7803.14105993125,148.854915727595,255.369057967523,219.171092196227,1.4857451906802,261.257828772326,1.5140821573972,75.4015572422294,29.0493927493373,59128.3811694915,3874.83050847458,193994894.745763,-2353109390.42237,-11114.5328666667,-0.492918644067797,16140014.6772881
78,1,7698.72131725658,32.7808547830375,96.0092480027986,221.905034875249,0.362232835129899,183.126910154518,1.99421423393073,74.6274083534509,48.5493734859346,58768.6086271187,3884.15254237288,194912306.084746,-2352599741.27707,-13514.7131555556,-0.490971186440678,17874338.8688136
79,1,7707.55120392661,45.0326123496128,96.0092480027986,58.6701408747281,0.362232835129899,262.68286253132,1.99023316324817,74.6274083534509,48.9592195448711,65146.0619661017,3898.5593220339,192724321.084746,-2354888470.35856,-13026.6275444444,-0.486191525423729,16748051.7988136
89,1,7772.82236792276,129.882302631131,131.482687267378,249.001229065238,0.362371177380586,296.067269401174,1.7259906502683,74.6787187853968,49.0821066394172,54098.5053220339,3860.08474576271,193838033.711864,-2351393937.9435,-12512.2825777778,-0.477186440677966,17534244.4108475
93,1,8052.63352608937,177.170048686684,200.194630150942,201.23102739054,1.27625409345624,255.747539665228,1.63674779565464,75.0510597149765,33.5579153441251,62113.557779661,3885.76271186441,191994270.38983,-2353935762.61721,-12007.8613666667,-0.490705084745763,17053782.3025424
95,1,7901.74623893527,224.767576082323,130.670065627725,19.6437006067353,0.307789902743256,296.923114179677,1.95696405308716,74.6509074819666,38.942931566607,59318.5736949152,3883.91525423729,191788918.050847,-2353038498.49443,-12069.1175333333,-0.467928813559322,17734895.6608475
98,1,8905.64237059304,168.098172744845,226.621774142665,179.43341398817,1.39749960938609,244.866947341116,1.60149174931028,75.0510597149765,34.0691863875892,60385.2724237288,3887.47457627119,192603503.881356,-2353624158.14823,-12024.7211222222,-0.48741186440678,17013269.1138983
101,1,7449.8675036366,176.975562499184,206.965302627604,183.106273871973,1.39749960938609,276.606061941874,1.9645429123818,75.0455175365048,23.7189710568329,59279.1619152542,3887.45762711864,194992343.61017,-2353004494.02177,-11731.2871444444,-0.487152542372881,16180613.7325424
104,1,7627.70475986385,32.0262289719585,131.468568544872,25.0236298443284,0.304704723964152,261.730110229018,1.7194153800174,74.6267070720483,49.6180333983955,55721.9748644068,3870.96610169492,192824155.966102,-2352009640.58838,-12145.2396111111,-0.466772881355932,17790124.8898305
107,1,7769.97852248505,165.605237293955,134.907559341465,137.539455175293,0.381204191423413,298.429530855962,1.98639565258305,74.6507465926693,49.3597126851849,54396.3177288136,3863.79661016949,194272849.949153,-2351484910.969,-13019.1492777778,-0.476923728813559,17926728.8527119
109,1,7762.9665500093,190.843265063372,193.910561311393,242.218056039589,0.956832685162908,206.070340509878,1.7835698274301,76.2240891829614,13.9539745935243,60801.0984067797,3881.59322033898,193763665.169492,-2353524242.09119,-11534.7054777778,-0.496971186440678,16153419.6701695
110,1,8014.60081048184,75.1959638612336,134.907559341465,14.4088066332994,0.381204191423413,242.413953800717,1.97471380018661,74.607074963163,49.3597126851849,61001.4325932204,3893.94915254237,191799079.322034,-2353502440.10727,-13033.7226888889,-0.447310169491525,17913781.1420339
136,1,7809.42391081806,79.4018262032997,189.152704862611,248.806020914279,0.862310713868896,263.146674935106,1.43786954719408,76.204154110199,31.4915979637763,52788.4871864407,3848.52542372881,193805727.20339,-2350773409.87089,-11089.6733111111,-0.493003389830509,17826237.5671186
149,1,7649.46446992078,126.331988518669,92.196823584893,244.023110921239,0.310063323077463,299.371100481713,1.9171709646278,74.6716728870719,41.6145535512645,60753.0975254237,3885.83050847458,194565834.050847,-2353352650.94803,-12296.2715222222,-0.464071186440678,16165823.7125424
153,1,8098.9148590206,248.227986723049,226.357716068725,219.163191819891,1.30855567622636,257.901128037631,1.57470265167109,75.0510597149765,33.7241607564471,59248.5037627119,3869.16949152542,192946013.271186,-2353090945.77241,-11688.7101777778,-0.482377966101695,17032841.1323729
156,1,7549.10703900948,75.1959638612336,134.907559341465,14.4088066332994,0.381204191423413,242.413953800717,1.97471380018661,74.607074963163,49.3597126851849,59029.514779661,3888.84745762712,192157641.474576,-2352998590.57205,-13115.9779555556,-0.448672881355932,17974677.8481356
159,1,7763.10892786103,162.06442001275,130.645224441929,243.723975207942,0.374245720298675,299.206891671686,1.7223056905722,74.6787187853968,46.4100423673705,56095.5669491525,3865.13559322034,193831514.169492,-2352029108.56676,-12164.4051,-0.476869491525424,16989439.4037288
166,1,7627.70475986385,152.806529041835,123.168446451804,24.3868804815892,0.326340711485918,261.730110229018,1.72404600003135,74.6734285145486,49.6322485735058,57608.3430847458,3875.20338983051,192305876.779661,-2352612258.68129,-12864.1540555556,-0.471950847457627,17985529.3513559
168,1,7727.34611186888,190.504103001382,193.447241892841,237.50585188883,0.835895482844395,220.224166802585,1.82084347016857,74.6412292969883,47.7208471646773,60851.851661017,3884.01694915254,193973240.169492,-2353419009.1911,-13004.7027666667,-0.489928813559322,16853528.6
169,1,7629.43037860526,35.5780299618591,95.22286790899,39.5663641870143,0.321603057486248,299.081793467171,1.72419173381602,74.6981887576378,48.5423254289443,65449.0716101695,3900.40677966102,191800339.338983,-2354930664.098,-12654.3889333333,-0.477786440677966,17093603.9094915
171,1,7708.5685964788,40.1305086235918,96.0092480027986,58.6701408747281,0.362585427387854,189.210271169131,1.99882129345191,74.6274083534509,49.6457679695615,63967.0442033898,3898.94915254237,192769178.661017,-2354406312.61329,-13672.6511222222,-0.499710169491525,17906010.8155932
179,2,7724.46024686179,163.706948262105,150.238502300612,236.212508206175,1.19180620163488,210.740909248181,1.06095597599466,75.4378840147998,50,52721.1234745763,3856.32203389831,193946180.813559,-2350934168.67875,-11710.5528777778,-0.488776271186441,17979469.8233898
183,2,5929.09359349087,153.743967907115,69.2962407881439,83.4173380527031,0.820923925601966,220.389293229128,1.95110885729565,75.3397385174085,27.0733887701959,57591.1882542373,3870.54237288136,192899518.61017,-2352644580.07569,-12504.3020222222,-0.490654237288136,17911450.5823729
184,2,5559.55802219671,169.797901593178,145.110813306782,0.220678071681267,0.536093013937748,266.709148654925,1.67101342888629,75.470266652807,21.3064561636926,56053.4171016949,3858.59322033898,192927842.38983,-2351956472.09106,-11135.8996666667,-0.483293220338983,17903363.4577966
186,2,8488.1939454501,104.998600324109,213.803504103051,141.800482783265,1.20465030919255,255.236399941953,1.55751694972669,75.0823672814487,24.4367189852419,62657.189338983,3893.76271186441,192778507.457627,-2354351213.42105,-11052.4802222222,-0.498227118644068,16082274.0737288
188,2,5612.82206498219,122.292979067445,143.57552846551,23.3072801844625,0.612203786706278,277.297900822542,1.56065886116306,74.6610022700294,49.7439697071216,64157.8575084746,3893.62711864407,192489363.983051,-2354581790.49297,-11643.5975,-0.490138983050847,16052230.4154237
192,2,9789.07046173942,100.450896528562,175.449316614755,168.862784079196,1.28105211885047,168.199555078255,1.81454048485835,75.3510158408768,33.7044999546761,59328.5618474576,3876.89830508475,193118732.949153,-2353217343.87124,-13027.6256888889,-0.4978,17996356.7828814
195,2,8802.95495853083,227.975320473312,173.501764743232,93.7212204024753,1.38916812204766,172.222416717261,1.89292470693374,76.121833373703,33.8865481562195,60806.9427966102,3886.66101694915,192807895.237288,-2353735079.93779,-13013.5840222222,-0.503372881355932,17930640.3111864
199,2,5572.98711970681,19.5109614915007,233.494336698146,50.704089354422,1.30616884144365,296.13981322778,1.88477826696955,75.1096874230754,9.74898805155358,64009.4933559322,3887.05084745763,194645507.355932,-2354387277.53786,-10523.7727555556,-0.492820338983051,15289111.0662712
202,2,7496.43789189003,180.523355126037,127.766351034352,107.585194856682,1.11363320335169,248.379772206158,1.8289314143774,75.0451815557829,26.6999059993772,62050.6284745763,3871.27118644068,193997691.491525,-2354137332.32697,-12070.5211666667,-0.490435593220339,16165466.2425424
206,2,6197.39854155684,37.1417159745208,156.93966069682,22.0813383379641,0.559044391097964,248.491927286849,1.67116129047793,74.6659009271831,48.6775224400403,55797.0394237288,3865.86440677966,193231486.983051,-2352084154.42312,-12566.3710777778,-0.485754237288136,17644523.7072881
210,2,7531.57351112393,160.873228989446,295.199382838977,186.48335475087,1.31715699468017,225.774421475795,1.99882031962898,75.18394005281,20.9454681388504,56098.4749491526,3868.25423728814,194753361.644068,-2352053705.61712,-12058.3491444444,-0.514606779661017,17059980.5935593
224,2,9488.50098787539,152.225417253483,213.803504103051,141.800482783265,1.20465030919255,218.831704631073,1.89327396030847,75.0860022250664,24.4367189852419,61028.571,3894.76271186441,192820313.508475,-2353884219.75322,-12258.7699111111,-0.498049152542373,16857895.7944068
230,2,7793.42770323373,153.947060834127,181.404161608618,249.557094117733,1.12015525870563,219.996493064352,1.87216937316053,75.3930257613429,27.0733887701959,57741.8486949153,3873.01694915254,193706259.898305,-2352692240.5271,-12307.4615333333,-0.49581186440678,17079630.0657627
