Sim	Year	Month	QM	erieOut	ontNBS	stlouisontOut	ontNTS	iceInd	lsdamR	saundershwR	ptclaireR	ogdensburgR	cardinalR	iroquoishwR	iroquoistwR	morrisburgR	saunderstwR	cornwallR	summerstownR	jetty1R	varennesR	sorelR	stpierreR	threeriversR	batiscanR	ontNBS_QM1	ontNBS_QM2	ontNBS_QM3	ontNBS_QM4	erieOut_QM1	erieOut_QM2	erieOut_QM3	erieOut_QM4	slonFlow_QM1	slonFlow_QM2	slonFlow_QM3	slonFlow_QM4	ontNTS_QM1	ontNTS_QM2	ontNTS_QM3	ontNTS_QM4	forNTS	indicator	confidence	ontLevel	ontFlow	kingstonLevel	stlouisFlow	airTemp	freezingDiff
1967	2070	12	47	5321	1353	1579	6674	0	1.0076694214876	1.00574380165289	1.01823140495868	1.01197029702479	1.01123762380165	1.01225742578512	1.0117227722314	1.01362376231405	1.01021782181818	1.00175247520661	0.995940594049587	1.01542574264463	1.01735643570248	1.00167326727273	0.985346534710744	0.992851485123967	0.984495049586777	1222.0228675296	1181.859878859148	1228.037517078321	1253.427227151236	5282.0	5345.4220461004	5334.8997600844	5244.751869486307	1361.815786096	1289.4484437845472	1184.7507572635775	1269.6215292463569	6504.0228675296	6527.281924959548	6562.937277162721	6498.179096637544	6640.035867905195	-1.0	3.0					64.648064516129	32.64806451612903
1968	2070	12	48	5356	2453	1698	7809	0	1.02655371900826	1.03109090909091	1.03499173553719	1.04917821785124	1.02914851487603	1.03007920793388	1.02626732677686	1.05431683173554	1.03909900991736	1.08093069305785	1.1084455446281	1.02362376231405	1.02476237619835	1.00024752479339	0.976485148595041	0.979247524793388	0.952900990082645	1244.0216259295998	1277.094368115788	1288.5090477486422	1324.962630457419	5321.0	5334.8997600844	5230.8606096644	5199.847608876407	1478.007778296	1317.3137552125872	1367.407511963922	1325.3586961088188	6565.021625929599	6611.994128200188	6519.369657413042	6524.810239333827	6657.89006789674	-1.0	3.0					64.648064516129	32.64806451612903
1969	2071	1	1	5413	3466	2052	8879	0	1.14445454545455	1.15268595041322	1.06893388429752	1.07611881190083	1.09388118809917	1.11475247520661	1.1165544553719	1.19484158413223	1.07134653471074	1.24738613867769	1.32515841586777	1.0766930692562	1.08367326727273	1.07271287123967	1.04197029702479	1.03821782181818	1.00236633669421	1850.8755044496	1741.3260463013803	1648.7837557585603	1561.8793151559746	5356.0	5230.8606096644	5211.8494253404	5223.50616939151	1508.311002096	1501.6844371157472	1424.4089686993254	1321.091599152299	7206.8755044496	6972.18665596578	6860.63318109896	6785.385484547485	6690.888968785261	-1.0	2.0					53.4545161290323	21.4545161290323
1970	2071	1	2	5448	2886	2044	8334	0	1.39779338842975	1.4129173553719	1.12867768595041	1.17502970297521	1.21953465338843	1.30802970297521	1.326	1.54179207917355	1.12281188115702	1.59468316826446	1.56801980198347	1.12358415834711	1.12579207917355	1.11642574264463	1.07558415834711	1.06161386132231	1.02725742578512	2507.8641318896	2253.7208183644043	1994.4854252964635	1798.195733893344	5413.0	5211.8494253404	5327.1070546144	5229.48858183402	1973.7152250960005	1756.2610965243473	1565.8845424196718	1499.8554935719706	7920.864131889601	7465.570243704804	7321.592479910863	7027.684315727363	6741.106203184057	-1.0	2.0					53.4545161290323	21.4545161290323
1971	2071	1	3	5518	2450	1721	7968	0	1.59786776859504	1.60918181818182	1.13006611570248	1.2446930692562	1.28202970297521	1.44702970297521	1.46618811884298	1.70017821785124	1.13140594066116	1.69073267322314	1.69745544561983	1.13015841586777	1.13940594066116	1.12278217818182	1.06638613867769	1.04485148512397	1.01171287123967	2433.1841013696003	2136.114384519613	1899.4782588370888	1805.1639949317985	5448.0	5327.1070546144	5363.8110287004	5252.68364047507	1817.282338096	1608.7843476309474	1531.500822026222	1339.293998322351	7881.1841013696	7463.221439134013	7263.289287537489	7057.847635406868	6769.023533638782	-1.0	2.0					53.4545161290323	21.4545161290323
1972	2071	1	4	5553	2314	1613	7867	0	1.64182644628099	1.6529173553719	1.13690909090909	1.25595049504132	1.28009900991736	1.46291089107438	1.47249504958678	1.67224752479339	1.12527722776859	1.69040594066116	1.70301980198347	1.13123762380165	1.14326732677686	1.12997029702479	1.08859405933884	1.06926732677686	1.04526732677686	2144.0952100096	1905.7765722801564	1809.668081468196	1675.571193644318	5518.0	5363.8110287004	5361.2635478104	5335.893283275187	1525.192021696	1472.7328519324672	1295.9434118325617	1144.283099894329	7662.0952100096	7269.587600980556	7170.931629278596	7011.464476919505	6798.595343232999	-1.0	2.0					53.4545161290323	21.4545161290323
1973	2071	2	5	5581	1601	1606	7182	0	1.69309917355372	1.69995041322314	1.12854545454545	1.2685544553719	1.31542574264463	1.5165544553719	1.52627722776859	1.73959405933884	1.11993069305785	1.65481188115702	1.70932673272727	1.14074257421488	1.15296039603306	1.14480198016529	1.0971386138843	1.08150495041322	1.05221782181818	1986.4133856096	1873.305098219916	1721.0796671362857	1651.3359015619872	5553.0	5361.2635478104	5443.5039701504	5410.095862840955	1548.967738696	1349.5388764318673	1183.8181530851407	1078.103587972544	7539.4133856096	7234.568646030317	7164.583637286686	7061.431764402943	6829.519093548402	-1.0	1.0					61.9614285714286	29.96142857142857
1974	2071	2	6	5616	1991	1459	7607	0	1.72495041322314	1.72929752066116	1.12405785123967	1.27008910892562	1.33237623768595	1.51864356429752	1.52479207917355	1.73296039603306	1.11587128710744	1.65824752479339	1.73772277223141	1.1455544553719	1.16411881190083	1.13614851487603	1.08387128710744	1.06326732677686	1.03484158413223	1690.3879054096	1576.7249489569965	1548.1041160222435	1627.478365734063	5581.0	5443.5039701504	5535.0819568464	5512.369002901948	1399.054285696	1218.6290051372673	1103.782045987369	1247.1862093704444	7271.3879054096	7020.228919107396	7083.186072868644	7139.847368636011	6848.7165332674585	-1.0	1.0					61.9614285714286	29.96142857142857
1975	2071	2	7	5697	2003	1552	7700	0	1.65227272727273	1.65789256198347	1.07989256198347	1.26850495041322	1.32922772280992	1.50479207917355	1.50507920793388	1.69179207917355	1.10958415834711	1.58690099008264	1.71471287123967	1.13437623768595	1.14838613867769	1.13458415834711	1.08391089107438	1.07639603966942	1.03789108909091	1719.3954490496003	1660.6969210885402	1707.9963872613264	1670.7745780875682	5616.0	5535.0819568464	5610.484744680401	5543.162926484633	1270.673874296	1140.3711859597872	1274.1764333722408	1228.4831627290928	7335.3954490496	7195.77887793494	7318.481131941727	7213.937504572202	6880.752535931073	0.0	1.0					61.9614285714286	29.96142857142857
1976	2071	2	8	5743	1538	1493	7281	2	1.58414876033058	1.58960330578512	1.07427272727273	1.25028712876033	1.29548514859504	1.45740594066116	1.4591683168595	1.60991089107438	1.10199009900826	1.5505544553719	1.78047524760331	1.12377227719008	1.1418316831405	1.10488118809917	1.06632673272727	1.06857425735537	1.05268316826446	1795.2956409696	1814.219099173772	1746.7371815542333	1676.1619797377284	5697.0	5610.484744680401	5635.2619094304	5684.031590714612	1384.6185282959998	1445.8898095625873	1355.148684000592	1525.0556306922654	7492.2956409696	7424.703843854173	7381.999090984633	7360.19357045234	6876.462444206738	0.0	1.0					61.9614285714286	29.96142857142857
1977	2071	3	9	5793	2315	1486	8108	0	1.50997520661157	1.51355371900826	1.0576694214876	1.22751485140496	1.26420792082645	1.38514851487603	1.3903069307438	1.52097029702479	1.09635643570248	1.53838613867769	1.77494059404959	1.11023762380165	1.12306930694215	1.10570297024793	1.08215841586777	1.08311881190083	1.06861386132231	1692.1065879695998	1650.368344539972	1607.2461365921315	1529.353297402699	5743.0	5635.2619094304	5759.4062679404005	5794.951332114411	1539.986603296	1421.3016172775874	1573.853784703755	1950.389137417921	7435.1065879696	7285.630253970372	7366.652404532532	7324.30462951711	6870.296678937721	0.0	1.0					69.93838709677419	37.93838709677419
