gageDepth,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
-2.87,0,0,0,0,0,0,0,0,0,0,84600.4,1209924.3,3107220.6,2736724.2,6335921.1,3756805.4,4948239.4,3157157.3,6321691.9,4665956.4,4686973.2,2977382.6,6693352.3,4733365.9,4794277.4,3042544.1,6491346.9,5033912.8,4781288.4,2967477.1,6830721,5450147.9,5554475.1,3146884.2,6758483.9,5043869.2,5678275.7,3936862.8,7710940.1,6379344,6365932.7,3861195.9,9061343.8,5338112.6,6253196.3,3021535,6041145,361332.9
-2.86,0,0,0,0,0,0,0,0,0,0,84391.2,1206036.4,3096612.8,2727379.6,6314864.8,3743791.2,4931859.2,3146410.4,6300029.2,4650601.2,4671283.6,2967682.8,6670700.4,4717013.2,4778021.2,3032561.8,6469660.2,5017009.4,4765193.2,2957378.8,6807462,5431654.2,5536004.8,3136432.6,6736310.2,5026672.6,5659465.6,3924020.4,7685480.8,6357522,6345433.6,3848400.2,9031384.4,5320307.8,6231584.4,3011197,6019523,359883.2
-2.85,0,0,0,0,0,0,0,0,0,0,84182,1202148.5,3086005,2718035,6293808.5,3730777,4915479,3135663.5,6278366.5,4635246,4655594,2957983,6648048.5,4700660.5,4761765,3022579.5,6447973.5,5000106,4749098,2947280.5,6784203,5413160.5,5517534.5,3125981,6714136.5,5009476,5640655.5,3911178,7660021.5,6335700,6324934.5,3835604.5,9001425,5302503,6209972.5,3000859,5997901,358433.5
-2.84,0,0,0,0,0,0,0,0,0,0,83972.8,1198260.6,3075397.2,2708690.4,6272752.2,3717762.8,4899098.8,3124916.6,6256703.8,4619890.8,4639904.4,2948283.2,6625396.6,4684307.8,4745508.8,3012597.2,6426286.8,4983202.6,4733002.8,2937182.2,6760944,5394666.8,5499064.2,3115529.4,6691962.8,4992279.4,5621845.4,3898335.6,7634562.2,6313878,6304435.4,3822808.8,8971465.6,5284698.2,6188360.6,2990521,5976279,356983.8
-2.83,0,0,0,0,0,0,0,0,0,0,83763.6,1194372.7,3064789.4,2699345.8,6251695.9,3704748.6,4882718.6,3114169.7,6235041.1,4604535.6,4624214.8,2938583.4,6602744.7,4667955.1,4729252.6,3002614.9,6404600.1,4966299.2,4716907.6,2927083.9,6737685,5376173.1,5480593.9,3105077.8,6669789.1,4975082.8,5603035.3,3885493.2,7609102.9,6292056,6283936.3,3810013.1,8941506.2,5266893.4,6166748.7,2980183,5954657,355534.1
-2.82,0,0,0,0,0,0,0,0,0,0,83554.4,1190484.8,3054181.6,2690001.2,6230639.6,3691734.4,4866338.4,3103422.8,6213378.4,4589180.4,4608525.2,2928883.6,6580092.8,4651602.4,4712996.4,2992632.6,6382913.4,4949395.8,4700812.4,2916985.6,6714426,5357679.4,5462123.6,3094626.2,6647615.4,4957886.2,5584225.2,3872650.8,7583643.6,6270234,6263437.2,3797217.4,8911546.8,5249088.6,6145136.8,2969845,5933035,354084.4
-2.81,0,0,0,0,0,0,0,0,0,0,83345.2,1186596.9,3043573.8,2680656.6,6209583.3,3678720.2,4849958.2,3092675.9,6191715.7,4573825.2,4592835.6,2919183.8,6557440.9,4635249.7,4696740.2,2982650.3,6361226.7,4932492.4,4684717.2,2906887.3,6691167,5339185.7,5443653.3,3084174.6,6625441.7,4940689.6,5565415.1,3859808.4,7558184.3,6248412,6242938.1,3784421.7,8881587.4,5231283.8,6123524.9,2959507,5911413,352634.7
-2.8,0,0,0,0,0,0,0,0,0,0,83136,1182709,3032966,2671312,6188527,3665706,4833578,3081929,6170053,4558470,4577146,2909484,6534789,4618897,4680484,2972668,6339540,4915589,4668622,2896789,6667908,5320692,5425183,3073723,6603268,4923493,5546605,3846966,7532725,6226590,6222439,3771626,8851628,5213479,6101913,2949169,5889791,351185
-2.79,0,0,0,0,0,0,0,0,0,0,82943.8,1179122.8,3023191.5,2662708.7,6169117.6,3653737.3,4818497.1,3072021.6,6150123.3,4544294.4,4562676.5,2900527.1,6513937.3,4603846.2,4665494.6,2963447.6,6319573.1,4900001.6,4653775.7,2887493.6,6646497.1,5303656,5408141.6,3064092.7,6582817.6,4907666.1,5529271.1,3835115.3,7509227.7,6206509.9,6203498.2,3759851.1,8824004,5197073.6,6082034.2,2939630.2,5869893.9,349856.8
-2.78,0,0,0,0,0,0,0,0,0,0,82751.6,1175536.6,3013417,2654105.4,6149708.2,3641768.6,4803416.2,3062114.2,6130193.6,4530118.8,4548207,2891570.2,6493085.6,4588795.4,4650505.2,2954227.2,6299606.2,4884414.2,4638929.4,2878198.2,6625086.2,5286620,5391100.2,3054462.4,6562367.2,4891839.2,5511937.2,3823264.6,7485730.4,6186429.8,6184557.4,3748076.2,8796380,5180668.2,6062155.4,2930091.4,5849996.8,348528.6
-2.77,0,0,0,0,0,0,0,0,0,0,82559.4,1171950.4,3003642.5,2645502.1,6130298.8,3629799.9,4788335.3,3052206.8,6110263.9,4515943.2,4533737.5,2882613.3,6472233.9,4573744.6,4635515.8,2945006.8,6279639.3,4868826.8,4624083.1,2868902.8,6603675.3,5269584,5374058.8,3044832.1,6541916.8,4876012.3,5494603.3,3811413.9,7462233.1,6166349.7,6165616.6,3736301.3,8768756,5164262.8,6042276.6,2920552.6,5830099.7,347200.4
-2.76,0,0,0,0,0,0,0,0,0,0,82367.2,1168364.2,2993868,2636898.8,6110889.4,3617831.2,4773254.4,3042299.4,6090334.2,4501767.6,4519268,2873656.4,6451382.2,4558693.8,4620526.4,2935786.4,6259672.4,4853239.4,4609236.8,2859607.4,6582264.4,5252548,5357017.4,3035201.8,6521466.4,4860185.4,5477269.4,3799563.2,7438735.8,6146269.6,6146675.8,3724526.4,8741132,5147857.4,6022397.8,2911013.8,5810202.6,345872.2
