waterLevel,Month,buildingsImpacted,matchString
74.14,7,0.185,74.14_7
74.14,8,0.267,74.14_8
74.14,9,1.399,74.14_9
74.15,1,26.072,74.15_1
74.15,10,12.116,74.15_10
74.15,11,31.692,74.15_11
74.15,12,26.872,74.15_12
74.15,2,18.745,74.15_2
74.15,3,14.744,74.15_3
74.15,4,6.048,74.15_4
74.15,5,1.331,74.15_5
74.15,6,0.486,74.15_6
74.15,7,0.236,74.15_7
74.15,8,0.348,74.15_8
74.15,9,1.592,74.15_9
74.16,1,28.9,74.16_1
74.16,10,13.3,74.16_10
74.16,11,34.529,74.16_11
74.16,12,29.768,74.16_12
74.16,2,20.689,74.16_2
74.16,3,16.506,74.16_3
74.16,4,6.975,74.16_4
74.16,5,1.626,74.16_5
74.16,6,0.564,74.16_6
74.16,7,0.294,74.16_7
74.16,8,0.442,74.16_8
74.16,9,1.798,74.16_9
74.17,1,31.888,74.17_1
74.17,10,14.548,74.17_10
74.17,11,37.476,74.17_11
74.17,12,32.831,74.17_12
74.17,2,22.718,74.17_2
74.17,3,18.373,74.17_3
74.17,4,7.982,74.17_4
74.17,5,1.959,74.17_5
74.17,6,0.649,74.17_6
74.17,7,0.36,74.17_7
74.17,8,0.55,74.17_8
74.17,9,2.017,74.17_9
74.18,1,35.037,74.18_1
74.18,10,15.862,74.18_10
74.18,11,40.532,74.18_11
74.18,12,36.059,74.18_12
74.18,2,24.832,74.18_2
74.18,3,20.346,74.18_3
74.18,4,9.07,74.18_4
74.18,5,2.328,74.18_5
74.18,6,0.74,74.18_6
74.18,7,0.434,74.18_7
74.18,8,0.671,74.18_8
74.18,9,2.249,74.18_9
74.19,1,38.346,74.19_1
74.19,10,17.241,74.19_10
74.19,11,43.697,74.19_11
74.19,12,39.453,74.19_12
74.19,2,27.031,74.19_2
74.19,3,22.423,74.19_3
74.19,4,10.237,74.19_4
74.19,5,2.734,74.19_5
74.19,6,0.839,74.19_6
74.19,7,0.516,74.19_7
74.19,8,0.805,74.19_8
74.19,9,2.493,74.19_9
74.2,1,41.816,74.2_1
74.2,10,18.686,74.2_10
74.2,11,46.971,74.2_11
74.2,12,43.013,74.2_12
74.2,2,29.315,74.2_2
74.2,3,24.606,74.2_3
74.2,4,11.485,74.2_4
74.2,5,3.176,74.2_5
74.2,6,0.944,74.2_6
74.2,7,0.606,74.2_7
74.2,8,0.952,74.2_8
74.2,9,2.751,74.2_9
74.21,1,44.996,74.21_1
74.21,10,20.043,74.21_10
74.21,11,50.054,74.21_11
74.21,12,46.28,74.21_12
74.21,2,31.422,74.21_2
74.21,3,26.611,74.21_3
74.21,4,12.618,74.21_4
74.21,5,3.574,74.21_5
74.21,6,1.039,74.21_6
74.21,7,0.687,74.21_7
74.21,8,1.085,74.21_8
74.21,9,2.986,74.21_9
74.22,1,47.885,74.22_1
74.22,10,21.311,74.22_10
74.22,11,52.945,74.22_11
74.22,12,49.255,74.22_12
74.22,2,33.349,74.22_2
74.22,3,28.437,74.22_3
74.22,4,13.637,74.22_4
74.22,5,3.928,74.22_5
74.22,6,1.123,74.22_6
74.22,7,0.759,74.22_7
74.22,8,1.203,74.22_8
74.22,9,3.198,74.22_9
74.23,1,50.484,74.23_1
74.23,10,22.491,74.23_10
74.23,11,55.645,74.23_11
74.23,12,51.937,74.23_12
74.23,2,35.099,74.23_2
74.23,3,30.084,74.23_3
74.23,4,14.54,74.23_4
74.23,5,4.238,74.23_5
74.23,6,1.197,74.23_6
74.23,7,0.822,74.23_7
74.23,8,1.306,74.23_8
74.23,9,3.387,74.23_9
74.24,1,52.793,74.24_1
74.24,10,23.583,74.24_10
74.24,11,58.154,74.24_11
74.24,12,54.326,74.24_12
74.24,2,36.669,74.24_2
74.24,3,31.552,74.24_3
74.24,4,15.329,74.24_4
74.24,5,4.504,74.24_5
74.24,6,1.26,74.24_6
74.24,7,0.876,74.24_7
74.24,8,1.394,74.24_8
74.24,9,3.553,74.24_9
74.25,1,54.811,74.25_1
74.25,10,24.587,74.25_10
74.25,11,60.472,74.25_11
74.25,12,56.422,74.25_12
74.25,2,38.06,74.25_2
74.25,3,32.842,74.25_3
74.25,4,16.004,74.25_4
74.25,5,4.726,74.25_5
74.25,6,1.313,74.25_6
74.25,7,0.921,74.25_7
74.25,8,1.469,74.25_8
74.25,9,3.696,74.25_9
74.26,1,56.539,74.26_1
74.26,10,25.503,74.26_10
74.26,11,62.598,74.26_11
74.26,12,58.226,74.26_12
74.26,2,39.274,74.26_2
74.26,3,33.954,74.26_3
74.26,4,16.564,74.26_4
74.26,5,4.904,74.26_5
74.26,6,1.355,74.26_6
74.26,7,0.957,74.26_7
74.26,8,1.529,74.26_8
74.26,9,3.815,74.26_9
74.27,1,57.976,74.27_1
74.27,10,26.331,74.27_10
74.27,11,64.533,74.27_11
74.27,12,59.738,74.27_12
74.27,2,40.308,74.27_2
74.27,3,34.887,74.27_3
74.27,4,17.008,74.27_4
74.27,5,5.038,74.27_5
74.27,6,1.387,74.27_6
74.27,7,0.984,74.27_7
74.27,8,1.574,74.27_8
74.27,9,3.911,74.27_9
74.28,1,59.124,74.28_1
74.28,10,27.071,74.28_10
74.28,11,66.276,74.28_11
74.28,12,60.957,74.28_12
74.28,2,41.165,74.28_2
74.28,3,35.641,74.28_3
74.28,4,17.338,74.28_4
74.28,5,5.128,74.28_5
74.28,6,1.408,74.28_6
74.28,7,1.002,74.28_7
74.28,8,1.604,74.28_8
74.28,9,3.985,74.28_9
74.29,1,59.983,74.29_1
74.29,10,27.723,74.29_10
74.29,11,67.828,74.29_11
74.29,12,61.884,74.29_12
74.29,2,41.843,74.29_2
74.29,3,36.217,74.29_3
74.29,4,17.553,74.29_4
74.29,5,5.174,74.29_5
74.29,6,1.419,74.29_6
74.29,7,1.011,74.29_7
74.29,8,1.62,74.29_8
74.29,9,4.036,74.29_9
74.3,1,60.551,74.3_1
74.3,10,28.287,74.3_10
74.3,11,69.188,74.3_11
74.3,12,62.517,74.3_12
74.3,2,42.342,74.3_2
74.3,3,36.614,74.3_3
74.3,4,17.654,74.3_4
74.3,5,5.176,74.3_5
74.3,6,1.419,74.3_6
74.3,7,1.011,74.3_7
74.3,8,1.621,74.3_8
74.3,9,4.063,74.3_9
74.31,1,61.227,74.31_1
74.31,10,28.857,74.31_10
74.31,11,70.562,74.31_11
74.31,12,63.237,74.31_12
74.31,2,42.915,74.31_2
74.31,3,37.067,74.31_3
74.31,4,17.8,74.31_4
74.31,5,5.224,74.31_5
74.31,6,1.427,74.31_6
74.31,7,1.012,74.31_7
74.31,8,1.624,74.31_8
74.31,9,4.098,74.31_9
74.32,1,62.011,74.32_1
74.32,10,29.432,74.32_10
74.32,11,71.948,74.32_11
74.32,12,64.045,74.32_12
74.32,2,43.563,74.32_2
74.32,3,37.578,74.32_3
74.32,4,17.992,74.32_4
74.32,5,5.32,74.32_5
74.32,6,1.443,74.32_6
74.32,7,1.014,74.32_7
74.32,8,1.629,74.32_8
74.32,9,4.14,74.32_9
74.33,1,62.903,74.33_1
74.33,10,30.013,74.33_10
74.33,11,73.347,74.33_11
74.33,12,64.939,74.33_12
74.33,2,44.286,74.33_2
74.33,3,38.145,74.33_3
74.33,4,18.23,74.33_4
74.33,5,5.464,74.33_5
74.33,6,1.467,74.33_6
74.33,7,1.016,74.33_7
74.33,8,1.636,74.33_8
74.33,9,4.189,74.33_9
74.34,1,63.903,74.34_1
74.34,10,30.599,74.34_10
74.34,11,74.758,74.34_11
74.34,12,65.92,74.34_12
74.34,2,45.083,74.34_2
74.34,3,38.769,74.34_3
74.34,4,18.513,74.34_4
74.34,5,5.654,74.34_5
74.34,6,1.5,74.34_6
74.34,7,1.019,74.34_7
74.34,8,1.646,74.34_8
74.34,9,4.244,74.34_9
74.35,1,65.012,74.35_1
74.35,10,31.19,74.35_10
74.35,11,76.182,74.35_11
74.35,12,66.987,74.35_12
74.35,2,45.955,74.35_2
74.35,3,39.449,74.35_3
74.35,4,18.841,74.35_4
74.35,5,5.893,74.35_5
74.35,6,1.54,74.35_6
74.35,7,1.023,74.35_7
74.35,8,1.658,74.35_8
74.35,9,4.306,74.35_9
74.36,1,66.228,74.36_1
74.36,10,31.786,74.36_10
74.36,11,77.619,74.36_11
74.36,12,68.14,74.36_12
74.36,2,46.901,74.36_2
74.36,3,40.187,74.36_3
74.36,4,19.216,74.36_4
74.36,5,6.179,74.36_5
74.36,6,1.588,74.36_6
74.36,7,1.028,74.36_7
74.36,8,1.672,74.36_8
74.36,9,4.375,74.36_9
74.37,1,67.553,74.37_1
74.37,10,32.389,74.37_10
74.37,11,79.068,74.37_11
74.37,12,69.381,74.37_12
74.37,2,47.922,74.37_2
74.37,3,40.981,74.37_3
74.37,4,19.637,74.37_4
74.37,5,6.513,74.37_5
74.37,6,1.644,74.37_6
74.37,7,1.033,74.37_7
74.37,8,1.688,74.37_8
74.37,9,4.451,74.37_9
74.38,1,68.985,74.38_1
74.38,10,32.996,74.38_10
74.38,11,80.53,74.38_11
74.38,12,70.709,74.38_12
74.38,2,49.017,74.38_2
74.38,3,41.832,74.38_3
74.38,4,20.103,74.38_4
74.38,5,6.894,74.38_5
74.38,6,1.708,74.38_6
74.38,7,1.039,74.38_7
74.38,8,1.706,74.38_8
74.38,9,4.533,74.38_9
74.39,1,70.526,74.39_1
74.39,10,33.61,74.39_10
74.39,11,82.005,74.39_11
74.39,12,72.124,74.39_12
74.39,2,50.185,74.39_2
74.39,3,42.74,74.39_3
74.39,4,20.616,74.39_4
74.39,5,7.322,74.39_5
74.39,6,1.782,74.39_6
74.39,7,1.046,74.39_7
74.39,8,1.726,74.39_8
74.39,9,4.622,74.39_9
74.4,1,72.175,74.4_1
74.4,10,34.229,74.4_10
74.4,11,83.492,74.4_11
74.4,12,73.625,74.4_12
74.4,2,51.429,74.4_2
74.4,3,43.704,74.4_3
74.4,4,21.174,74.4_4
74.4,5,7.797,74.4_5
74.4,6,1.863,74.4_6
74.4,7,1.054,74.4_7
74.4,8,1.748,74.4_8
74.4,9,4.718,74.4_9
74.41,1,73.925,74.41_1
74.41,10,34.894,74.41_10
74.41,11,85.073,74.41_11
74.41,12,75.225,74.41_12
74.41,2,52.757,74.41_2
74.41,3,44.765,74.41_3
74.41,4,21.779,74.41_4
74.41,5,8.248,74.41_5
74.41,6,1.943,74.41_6
74.41,7,1.063,74.41_7
74.41,8,1.77,74.41_8
74.41,9,4.822,74.41_9
74.42,1,75.774,74.42_1
74.42,10,35.605,74.42_10
74.42,11,86.745,74.42_11
74.42,12,76.925,74.42_12
74.42,2,54.17,74.42_2
74.42,3,45.923,74.42_3
74.42,4,22.433,74.42_4
74.42,5,8.672,74.42_5
74.42,6,2.023,74.42_6
74.42,7,1.073,74.42_7
74.42,8,1.793,74.42_8
74.42,9,4.936,74.42_9
74.43,1,77.723,74.43_1
74.43,10,36.364,74.43_10
74.43,11,88.509,74.43_11
74.43,12,78.726,74.43_12
74.43,2,55.667,74.43_2
74.43,3,47.177,74.43_3
74.43,4,23.134,74.43_4
74.43,5,9.072,74.43_5
74.43,6,2.102,74.43_6
74.43,7,1.083,74.43_7
74.43,8,1.816,74.43_8
74.43,9,5.058,74.43_9
74.44,1,79.773,74.44_1
74.44,10,37.169,74.44_10
74.44,11,90.364,74.44_11
74.44,12,80.626,74.44_12
74.44,2,57.248,74.44_2
74.44,3,48.529,74.44_3
74.44,4,23.882,74.44_4
74.44,5,9.446,74.44_5
74.44,6,2.18,74.44_6
74.44,7,1.095,74.44_7
74.44,8,1.84,74.44_8
74.44,9,5.189,74.44_9
74.45,1,81.924,74.45_1
74.45,10,38.02,74.45_10
74.45,11,92.311,74.45_11
74.45,12,82.624,74.45_12
74.45,2,58.915,74.45_2
74.45,3,49.978,74.45_3
74.45,4,24.679,74.45_4
74.45,5,9.793,74.45_5
74.45,6,2.258,74.45_6
74.45,7,1.109,74.45_7
74.45,8,1.865,74.45_8
74.45,9,5.328,74.45_9
74.46,1,84.175,74.46_1
74.46,10,38.918,74.46_10
74.46,11,94.35,74.46_11
74.46,12,84.723,74.46_12
74.46,2,60.666,74.46_2
74.46,3,51.523,74.46_3
74.46,4,25.523,74.46_4
74.46,5,10.116,74.46_5
74.46,6,2.336,74.46_6
74.46,7,1.124,74.46_7
74.46,8,1.89,74.46_8
74.46,9,5.477,74.46_9
74.47,1,86.526,74.47_1
74.47,10,39.862,74.47_10
74.47,11,96.481,74.47_11
74.47,12,86.922,74.47_12
74.47,2,62.501,74.47_2
74.47,3,53.165,74.47_3
74.47,4,26.414,74.47_4
74.47,5,10.413,74.47_5
74.47,6,2.414,74.47_6
74.47,7,1.139,74.47_7
74.47,8,1.915,74.47_8
74.47,9,5.634,74.47_9
74.48,1,88.978,74.48_1
74.48,10,40.853,74.48_10
74.48,11,98.704,74.48_11
74.48,12,89.219,74.48_12
74.48,2,64.421,74.48_2
74.48,3,54.903,74.48_3
74.48,4,27.353,74.48_4
74.48,5,10.684,74.48_5
74.48,6,2.491,74.48_6
74.48,7,1.156,74.48_7
74.48,8,1.941,74.48_8
74.48,9,5.801,74.48_9
74.49,1,91.529,74.49_1
74.49,10,41.89,74.49_10
74.49,11,101.018,74.49_11
74.49,12,91.615,74.49_12
74.49,2,66.425,74.49_2
74.49,3,56.738,74.49_3
74.49,4,28.34,74.49_4
74.49,5,10.931,74.49_5
74.49,6,2.568,74.49_6
74.49,7,1.174,74.49_7
74.49,8,1.967,74.49_8
74.49,9,5.975,74.49_9
74.5,1,94.181,74.5_1
74.5,10,42.973,74.5_10
74.5,11,103.424,74.5_11
74.5,12,94.112,74.5_12
74.5,2,68.514,74.5_2
74.5,3,58.669,74.5_3
74.5,4,29.374,74.5_4
74.5,5,11.151,74.5_5
74.5,6,2.644,74.5_6
74.5,7,1.193,74.5_7
74.5,8,1.993,74.5_8
74.5,9,6.159,74.5_9
74.51,1,96.689,74.51_1
