waterLevel,buildingsImpacted
21.81,3
21.97,5
22.28,12
22.39,20
22.43,28
22.54,38
22.58,44
22.68,73
22.72,94
22.79,112
22.83,121
22.91,158
22.93,174
22.99,217
23,218
23.1,292
23.13,292
23.19,346
23.2,359
23.32,427
23.52,596
23.94,765
