waterLevel,buildingsImpacted
21.81,8
21.97,11
22.28,35
22.39,53
22.43,72
22.54,99
22.58,99
22.68,293
22.72,335
22.79,485
22.83,540
22.91,751
22.93,779
22.99,981
23,1013
23.1,1308
23.13,1308
23.19,1582
23.2,1614
23.32,1936
23.52,1952
23.94,3767
