gageDepth,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
-2.88,896115.8,709724.2,1188898.6,1012951,727113.2,750836,805609.8,1078078,888876.6,501665,1197542.6,1633891.6,2497904,2037946.8,3480128,2242784,2245091,1516903.8,2847268.4,2181829,2132825.8,1557018,2965487.6,2023817,2249926.2,1486267.2,2827873.2,2275951,2141295.4,1436316.4,2863058.6,2436495.4,2424096,1615919.4,2845190.6,2103945.4,2560120,1801633.4,3239476.8,2674414.6,2621083.2,1782383.8,3536950.4,2338498.8,3215511.4,1813619.8,3526845.8,1596390.8
-2.87,893571.2,707736.3,1185581.4,1010025.5,724900.8,748606.5,803318.2,1075019,886340.9,500167,1194085.9,1628860.4,2489660.5,2031521.7,3469265,2235851.5,2237991,1512392.7,2838335.6,2175010,2126140.7,1552413,2955913.4,2017383.5,2242925.3,1481799.8,2818725.3,2268891.5,2134761.6,1432228.6,2853916.9,2428651.1,2416057.5,1610894.1,2835779.4,2097264.6,2552053,1795968.6,3229166.2,2665859.9,2612970.3,1776991.2,3525925.6,2331430.7,3205112.1,1808389.2,3516358.2,1592155.7
-2.86,891026.6,705748.4,1182264.2,1007100,722688.4,746377,801026.6,1071960,883805.2,498669,1190629.2,1623829.2,2481417,2025096.6,3458402,2228919,2230891,1507881.6,2829402.8,2168191,2119455.6,1547808,2946339.2,2010950,2235924.4,1477332.4,2809577.4,2261832,2128227.8,1428140.8,2844775.2,2420806.8,2408019,1605868.8,2826368.2,2090583.8,2543986,1790303.8,3218855.6,2657305.2,2604857.4,1771598.6,3514900.8,2324362.6,3194712.8,1803158.6,3505870.6,1587920.6
-2.85,888482,703760.5,1178947,1004174.5,720476,744147.5,798735,1068901,881269.5,497171,1187172.5,1618798,2473173.5,2018671.5,3447539,2221986.5,2223791,1503370.5,2820470,2161372,2112770.5,1543203,2936765,2004516.5,2228923.5,1472865,2800429.5,2254772.5,2121694,1424053,2835633.5,2412962.5,2399980.5,1600843.5,2816957,2083903,2535919,1784639,3208545,2648750.5,2596744.5,1766206,3503876,2317294.5,3184313.5,1797928,3495383,1583685.5
-2.84,885937.4,701772.6,1175629.8,1001249,718263.6,741918,796443.4,1065842,878733.8,495673,1183715.8,1613766.8,2464930,2012246.4,3436676,2215054,2216691,1498859.4,2811537.2,2154553,2106085.4,1538598,2927190.8,1998083,2221922.6,1468397.6,2791281.6,2247713,2115160.2,1419965.2,2826491.8,2405118.2,2391942,1595818.2,2807545.8,2077222.2,2527852,1778974.2,3198234.4,2640195.8,2588631.6,1760813.4,3492851.2,2310226.4,3173914.2,1792697.4,3484895.4,1579450.4
-2.83,883392.8,699784.7,1172312.6,998323.5,716051.2,739688.5,794151.8,1062783,876198.1,494175,1180259.1,1608735.6,2456686.5,2005821.3,3425813,2208121.5,2209591,1494348.3,2802604.4,2147734,2099400.3,1533993,2917616.6,1991649.5,2214921.7,1463930.2,2782133.7,2240653.5,2108626.4,1415877.4,2817350.1,2397273.9,2383903.5,1590792.9,2798134.6,2070541.4,2519785,1773309.4,3187923.8,2631641.1,2580518.7,1755420.8,3481826.4,2303158.3,3163514.9,1787466.8,3474407.8,1575215.3
-2.82,880848.2,697796.8,1168995.4,995398,713838.8,737459,791860.2,1059724,873662.4,492677,1176802.4,1603704.4,2448443,1999396.2,3414950,2201189,2202491,1489837.2,2793671.6,2140915,2092715.2,1529388,2908042.4,1985216,2207920.8,1459462.8,2772985.8,2233594,2102092.6,1411789.6,2808208.4,2389429.6,2375865,1585767.6,2788723.4,2063860.6,2511718,1767644.6,3177613.2,2623086.4,2572405.8,1750028.2,3470801.6,2296090.2,3153115.6,1782236.2,3463920.2,1570980.2
-2.81,878303.6,695808.9,1165678.2,992472.5,711626.4,735229.5,789568.6,1056665,871126.7,491179,1173345.7,1598673.2,2440199.5,1992971.1,3404087,2194256.5,2195391,1485326.1,2784738.8,2134096,2086030.1,1524783,2898468.2,1978782.5,2200919.9,1454995.4,2763837.9,2226534.5,2095558.8,1407701.8,2799066.7,2381585.3,2367826.5,1580742.3,2779312.2,2057179.8,2503651,1761979.8,3167302.6,2614531.7,2564292.9,1744635.6,3459776.8,2289022.1,3142716.3,1777005.6,3453432.6,1566745.1
-2.8,875759,693821,1162361,989547,709414,733000,787277,1053606,868591,489681,1169889,1593642,2431956,1986546,3393224,2187324,2188291,1480815,2775806,2127277,2079345,1520178,2888894,1972349,2193919,1450528,2754690,2219475,2089025,1403614,2789925,2373741,2359788,1575717,2769901,2050499,2495584,1756315,3156992,2605977,2556180,1739243,3448752,2281954,3132317,1771775,3442945,1562510
-2.79,873441.7,691960.7,1159287.5,986831.9,707402.3,730958.9,785135.5,1050793.4,866267.7,488293,1166657.1,1588942,2424226.8,1980467.7,3383087,2180648.5,2181684.3,1476606.6,2767383.8,2120945.3,2073101.6,1515836.4,2880014.6,1966326.8,2187274.1,1446288.1,2745998.3,2212786.6,2082916.4,1399721.9,2781340.2,2366459.7,2352397.4,1571051.5,2761151.6,2044325.7,2487914.1,1750995.7,3147355.7,2597933.5,2548590.8,1734120.1,3438482.1,2275302.1,3122751.3,1766885.8,3433197.8,1558545.1
