"Sim","Year","QM","airTemp","freezingDiff"
1,1900,1,20.0448197672,-11.9551802328
2,1900,2,20.0448197672,-11.9551802328
3,1900,3,20.0448197672,-11.9551802328
4,1900,4,20.0448197672,-11.9551802328
5,1900,5,13.4243115450286,-18.5756884549714
6,1900,6,13.4243115450286,-18.5756884549714
7,1900,7,13.4243115450286,-18.5756884549714
8,1900,8,13.4243115450286,-18.5756884549714
9,1900,9,17.2611133067097,-14.7388866932903
10,1900,10,17.2611133067097,-14.7388866932903
11,1900,11,17.2611133067097,-14.7388866932903
12,1900,12,17.2611133067097,-14.7388866932903
13,1900,13,41.7517159784,9.7517159784
14,1900,14,41.7517159784,9.7517159784
15,1900,15,41.7517159784,9.7517159784
16,1900,16,41.7517159784,9.7517159784
17,1900,17,52.6244953788645,20.6244953788645
18,1900,18,52.6244953788645,20.6244953788645
19,1900,19,52.6244953788645,20.6244953788645
20,1900,20,52.6244953788645,20.6244953788645
21,1900,21,63.60510044624,31.60510044624
22,1900,22,63.60510044624,31.60510044624
23,1900,23,63.60510044624,31.60510044624
24,1900,24,63.60510044624,31.60510044624
25,1900,25,68.0508686807484,36.0508686807484
26,1900,26,68.0508686807484,36.0508686807484
27,1900,27,68.0508686807484,36.0508686807484
28,1900,28,68.0508686807484,36.0508686807484
29,1900,29,71.8849088288774,39.8849088288774
30,1900,30,71.8849088288774,39.8849088288774
31,1900,31,71.8849088288774,39.8849088288774
32,1900,32,71.8849088288774,39.8849088288774
33,1900,33,62.759463692,30.759463692
34,1900,34,62.759463692,30.759463692
35,1900,35,62.759463692,30.759463692
36,1900,36,62.759463692,30.759463692
37,1900,37,53.7199354211871,21.7199354211871
38,1900,38,53.7199354211871,21.7199354211871
39,1900,39,53.7199354211871,21.7199354211871
40,1900,40,53.7199354211871,21.7199354211871
41,1900,41,34.18759509008,2.18759509008
42,1900,42,34.18759509008,2.18759509008
43,1900,43,34.18759509008,2.18759509008
44,1900,44,34.18759509008,2.18759509008
45,1900,45,23.5308966077677,-8.46910339223226
46,1900,46,23.5308966077677,-8.46910339223226
47,1900,47,23.5308966077677,-8.46910339223226
48,1900,48,23.5308966077677,-8.46910339223226
49,1901,1,17.5317514348129,-14.4682485651871
50,1901,2,17.5317514348129,-14.4682485651871
51,1901,3,17.5317514348129,-14.4682485651871
52,1901,4,17.5317514348129,-14.4682485651871
53,1901,5,9.78588569017143,-22.2141143098286
54,1901,6,9.78588569017143,-22.2141143098286
55,1901,7,9.78588569017143,-22.2141143098286
56,1901,8,9.78588569017143,-22.2141143098286
57,1901,9,24.5039051159484,-7.49609488405161
58,1901,10,24.5039051159484,-7.49609488405161
59,1901,11,24.5039051159484,-7.49609488405161
60,1901,12,24.5039051159484,-7.49609488405161
61,1901,13,42.89698780304,10.89698780304
62,1901,14,42.89698780304,10.89698780304
63,1901,15,42.89698780304,10.89698780304
64,1901,16,42.89698780304,10.89698780304
65,1901,17,51.7288120501419,19.7288120501419
66,1901,18,51.7288120501419,19.7288120501419
67,1901,19,51.7288120501419,19.7288120501419
68,1901,20,51.7288120501419,19.7288120501419
69,1901,21,63.85146705968,31.85146705968
70,1901,22,63.85146705968,31.85146705968
71,1901,23,63.85146705968,31.85146705968
72,1901,24,63.85146705968,31.85146705968
73,1901,25,72.5163977944516,40.5163977944516
74,1901,26,72.5163977944516,40.5163977944516
75,1901,27,72.5163977944516,40.5163977944516
76,1901,28,72.5163977944516,40.5163977944516
77,1901,29,68.2506253943484,36.2506253943484
78,1901,30,68.2506253943484,36.2506253943484
79,1901,31,68.2506253943484,36.2506253943484
80,1901,32,68.2506253943484,36.2506253943484
81,1901,33,60.0294552728,28.0294552728
82,1901,34,60.0294552728,28.0294552728
83,1901,35,60.0294552728,28.0294552728
84,1901,36,60.0294552728,28.0294552728
85,1901,37,45.4976913388129,13.4976913388129
86,1901,38,45.4976913388129,13.4976913388129
87,1901,39,45.4976913388129,13.4976913388129
88,1901,40,45.4976913388129,13.4976913388129
89,1901,41,29.59319067728,-2.40680932272
90,1901,42,29.59319067728,-2.40680932272
91,1901,43,29.59319067728,-2.40680932272
92,1901,44,29.59319067728,-2.40680932272
93,1901,45,20.9340593309677,-11.0659406690323
94,1901,46,20.9340593309677,-11.0659406690323
95,1901,47,20.9340593309677,-11.0659406690323
96,1901,48,20.9340593309677,-11.0659406690323
97,1902,1,17.209563187071,-14.790436812929
98,1902,2,17.209563187071,-14.790436812929
99,1902,3,17.209563187071,-14.790436812929
100,1902,4,17.209563187071,-14.790436812929
101,1902,5,14.8939502236571,-17.1060497763429
102,1902,6,14.8939502236571,-17.1060497763429
103,1902,7,14.8939502236571,-17.1060497763429
104,1902,8,14.8939502236571,-17.1060497763429
105,1902,9,32.9452372067871,0.945237206787098
106,1902,10,32.9452372067871,0.945237206787098
107,1902,11,32.9452372067871,0.945237206787098
108,1902,12,32.9452372067871,0.945237206787098
109,1902,13,40.19361361232,8.19361361232
110,1902,14,40.19361361232,8.19361361232
111,1902,15,40.19361361232,8.19361361232
112,1902,16,40.19361361232,8.19361361232
113,1902,17,50.6140407129548,18.6140407129548
114,1902,18,50.6140407129548,18.6140407129548
115,1902,19,50.6140407129548,18.6140407129548
116,1902,20,50.6140407129548,18.6140407129548
117,1902,21,58.00525390832,26.00525390832
118,1902,22,58.00525390832,26.00525390832
119,1902,23,58.00525390832,26.00525390832
120,1902,24,58.00525390832,26.00525390832
121,1902,25,67.8639994970581,35.8639994970581
122,1902,26,67.8639994970581,35.8639994970581
123,1902,27,67.8639994970581,35.8639994970581
124,1902,28,67.8639994970581,35.8639994970581
125,1902,29,64.0041842891097,32.0041842891097
126,1902,30,64.0041842891097,32.0041842891097
127,1902,31,64.0041842891097,32.0041842891097
128,1902,32,64.0041842891097,32.0041842891097
129,1902,33,58.27825475024,26.27825475024
130,1902,34,58.27825475024,26.27825475024
131,1902,35,58.27825475024,26.27825475024
132,1902,36,58.27825475024,26.27825475024
133,1902,37,45.4268099243097,13.4268099243097
134,1902,38,45.4268099243097,13.4268099243097
135,1902,39,45.4268099243097,13.4268099243097
136,1902,40,45.4268099243097,13.4268099243097
137,1902,41,39.02836611632,7.02836611632001
138,1902,42,39.02836611632,7.02836611632001
139,1902,43,39.02836611632,7.02836611632001
140,1902,44,39.02836611632,7.02836611632001
141,1902,45,18.3887721738065,-13.6112278261935
142,1902,46,18.3887721738065,-13.6112278261935
143,1902,47,18.3887721738065,-13.6112278261935
144,1902,48,18.3887721738065,-13.6112278261935
145,1903,1,16.9582563538323,-15.0417436461677
146,1903,2,16.9582563538323,-15.0417436461677
147,1903,3,16.9582563538323,-15.0417436461677
148,1903,4,16.9582563538323,-15.0417436461677
149,1903,5,19.9021364003429,-12.0978635996571
150,1903,6,19.9021364003429,-12.0978635996571
151,1903,7,19.9021364003429,-12.0978635996571
152,1903,8,19.9021364003429,-12.0978635996571
153,1903,9,35.3552052998968,3.35520529989677
154,1903,10,35.3552052998968,3.35520529989677
155,1903,11,35.3552052998968,3.35520529989677
156,1903,12,35.3552052998968,3.35520529989677
157,1903,13,40.01383257008,8.01383257008001
158,1903,14,40.01383257008,8.01383257008001
159,1903,15,40.01383257008,8.01383257008001
160,1903,16,40.01383257008,8.01383257008001
161,1903,17,53.4170784683097,21.4170784683097
162,1903,18,53.4170784683097,21.4170784683097
163,1903,19,53.4170784683097,21.4170784683097
164,1903,20,53.4170784683097,21.4170784683097
165,1903,21,59.88962557328,27.88962557328
166,1903,22,59.88962557328,27.88962557328
167,1903,23,59.88962557328,27.88962557328
168,1903,24,59.88962557328,27.88962557328
169,1903,25,68.1797439798452,36.1797439798452
170,1903,26,68.1797439798452,36.1797439798452
171,1903,27,68.1797439798452,36.1797439798452
172,1903,28,68.1797439798452,36.1797439798452
