waterLevel,buildingsImpacted
5.04,3
5.16,3
5.4,6
5.55,16
5.71,25
6,51
6.18,68
6.34,72
6.45,82
6.57,89
6.69,98
6.81,104
6.95,108
7.08,120
7.74,177
