ID	Seed	C1	addC1	C2	P1	P2	rcThreshold	wetDenominator	dryDenominator	adjLevel	adjFlow	lf50Conf	lf99Conf	lfDryThreshold	lfWetThreshold	Coastal Impacts: Upstream Buildings Impacted (#)	Coastal Impacts: Downstream Buildings Impacted (#)	Commercial Navigation: Ontario + Seaway + Montreal Transportation Costs ($)	Hydropower: Moses-Saunders + Niagara Energy Value ($)	Meadow Marsh: Area (ha)	Muskrat Lodge Viability (%)	Recreational Boating: Impact Costs ($)
1111	3	8.6194445563262	238.9451327317484	207.66981602003105	0.552437568677691	1.1904923914955972	5775.007793663302	96.2938983558458	1925.6704220824188	75.96017167982363	-18.492698155148712	76.43535676256067	100.68696593928208	6202.13570779025	6796.513756107659	1.6355903052506633	-5.357060711076824	-1.9934207698010784	0.6791856133219959	-6.440250931161059	-25.61376998199615	22.02953705488628
1112	3	1.4401276006226	71.52427198960333	198.57570471374856	1.299493891228686	1.130082587061127	6608.675717140654	304.28854348107996	942.8822344533279	76.64651935446228	23.825900793149245	74.44592470865095	179.33878915136623	7643.950771105883	7475.518224604082	19.39182227351332	-5.745817683864118	-1.829767788220068	-0.3106037580890692	-17.1046895928597	-0.9253798650046052	-7.59650407334005
1113	3	0.553071349935	248.27206819424362	173.00563098930184	0.5430786857140238	0.7250687081192313	6366.608200105873	97.34921749274497	678.1775614706438	75.46395316184196	24.0047455747696	75.00556508566035	127.46312440662999	7576.168299656499	7166.43037617821	2.222189938762009	-5.912588327157006	-2.0441838288370118	-0.3053154929054461	-18.11837411186644	-17.416603076437273	5.35874599494572
1114	3	74.39624753176791	243.0886935310179	212.8066875106352	1.2881138740037739	1.4150547237467366	6245.9933717794165	81.28405172621363	1409.842112524631	74.51966764278805	-0.24753770563927446	47.78752510471258	124.6976917339666	6712.938287189465	8141.520440316708	248.77252540631463	-4.18031711063557	-2.29938227922723	2.0115051515876936	-54.1038806022768	-37.72118271897071	111.28330338501648
1115	3	0.4670060422053	133.94289897209774	278.2031916463356	0.5545392108177056	0.9607708316670663	6306.915108841859	46.75860023941595	894.9554745106783	75.76309194391798	23.905821718931875	248.57103445591437	88.15051937492105	6716.011045159784	7138.180034057491	5.054818882247298	-6.09375537151837	-2.035385234267441	-0.3777691127226776	-20.120041564145936	-10.655583858218767	11.985129144079696
1116	3	64.8341316043889	221.34374349176505	235.56791796831172	1.4341685466786003	0.967087513177443	6100.256960641679	124.75730848201466	1491.3242553775142	76.00477982358245	28.170922702179226	105.47420026011972	104.97708009904647	6729.02115128739	7752.289018126607	-43.294598261661925	-16.545818544982254	-3.0337529911915944	2.872866143578216	-35.94308133836746	-45.71532295426511	126.61712852803134
1117	3	0.0	93.2240717042523	179.52135351774845	0.6225268431037309	1.3238115821586804	6599.102496048884	117.36966011805747	858.4838974436673	74.8360218189422	37.11566476085579	189.78498397880196	165.90070885510667	8764.714227934535	7158.4537458685945	16.91746515561324	-5.441864444396876	-1.59412284619532	-0.5107440257513552	-30.06799668956133	-5.0620920275113175	9.53773022138546
1118	3	0.0	155.58922695687724	214.6780998014561	1.4632023893850605	1.498339093670683	5727.771484259962	828.5201457881851	886.5389275474021	74.73428227605076	37.914477099505945	52.72957719870767	188.87689432470256	7019.866419851296	7132.369709252506	3.675830996536555	-5.287921288288024	-1.692002058247941	-0.416555871319621	-28.71154164412312	-16.40098370486883	56.66148894099727
1119	3	14.800749586409	234.41137678584315	183.30343983807106	1.7419305015889606	1.482420104030855	6661.362285371312	63.05152970996307	890.2117696565603	76.21666663376342	49.855836210004625	24.080595880299928	139.97878137509775	6283.764735737542	7740.487013694196	-76.21160244893758	-15.557951922243769	-3.108303989769117	2.8946544078320864	4.6837251697107725	-34.74412385411181	162.14853864435452
1120	3	64.8341316043889	229.603134810244	235.56791796831172	1.4341685466786003	1.8011277962478642	6100.256960641679	124.75730848201466	1491.3242553775142	76.00477982358245	-15.381983869099521	105.47420026011972	104.97708009904647	6729.02115128739	7752.289018126607	-46.72694486072529	-16.28615153343632	-3.0609430555058545	2.911478827777126	-33.71302662282662	-45.45723215665053	122.92603491593948
1121	3	404.1601021959526	237.55498953558399	213.90716694084216	0.5237764430247055	1.0494244697153159	6381.374986310965	146.1315853714736	1293.2082929294445	76.39379595944249	-37.14989672296398	160.6142883524589	32.235329387703096	7659.706788998572	5890.811018131608	102.87968942828633	-4.876040357007052	-2.004793335701863	1.502582471985821	-15.13798617673836	-30.591943324691005	35.59103643761903
1122	3	0.0	199.08164213620387	206.19997212730908	1.209364561689521	0.8984562592882412	6908.326598073012	343.3948264126857	1184.1740842839358	76.67755926768082	31.211479965764838	134.23976923513248	114.5370846182427	7012.9553176531	7289.92573894318	14.381806840727204	-5.456997243126833	-2.034568544340699	-0.1371298873683226	6.588792571805685	-5.308866700547279	-23.01293608721248
1123	3	17.3418130226165	219.4039431922034	187.2883297473398	0.653838712145262	0.7124639553279764	6512.306870007679	117.9767930690386	852.915689307141	76.13405042587175	5.505700251627886	156.844458077021	3.638900178075775	7975.677856815193	6779.617320163478	-21.239515713732363	-6.225575392423207	-2.0003237792536965	1.0200012932033335	11.761342255173403	-23.79673974602734	11.381408633370686
1124	3	0.0	208.02015058862997	209.36269218755191	1.191392738048536	1.8841723170793085	5500.385679269656	1.0	1116.6621898209694	75.50728776550555	-33.17812896561601	202.2315587662001	209.30812178292013	6631.751886278236	7749.141077097683	161.84997787240243	-14.40709781303463	-2.9699507740951057	-0.0698068784486437	-7.377548097404898	-7.71345889254327	31.04401733641865
1125	3	2.1778389354218	230.1023577562708	226.12362371394082	1.7227871338961904	0.8491363550075207	6810.905551600677	87.33698599646095	1232.7905169801763	74.9675805033216	43.500063262568844	153.5453809464419	242.5735179780026	5730.3396452288935	7614.043680511891	-65.1182214086807	-17.453381694535285	-3.230292648601562	1.4599334479535802	21.0025378548781	-10.559478270902192	13.648049921456568
1126	3	0.0	242.54703444293546	220.11977062205233	1.7713918416472978	0.7994917207219969	6873.471236337926	25.471604617258937	1925.2244546115282	76.88172327933873	47.06800284275093	153.63547323247752	246.1157185490645	6721.570502108388	7663.062141114491	-50.50137728914225	-16.95421227576288	-3.280015956846281	0.9908717066333906	-4.430948464276917	-13.469017405150746	16.054006253176752
